produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_shale_gas,produccion_tight_gas,anio,produccion_no_convencional,produccion_convencional,mes
885167.3714,442014.6605,1944919.8742,263495.368,4599.6114,3540196.8855,23465.9598,314046.25217,2014,337512.21197,3202684.67353,1
793800.6656,403246.2098,1756760.5258,233504.3885,4352.7275,3191664.5172,22807.990191,284537.6229,2014,307345.613091,2884318.904109,2
879715.0346,453502.3597,1885451.2988,254380.6826,4891.704,3477941.0797,24844.17516,311893.063,2014,336737.23816,3141203.84154,3
740749.0121,438266.3703,1833150.2857,239112.5697,4763.2185,3256041.4563,30990.91201,313487.91707,2014,344478.82908000005,2911562.62722,4
880061.9141,445484.1645,1966217.6289,247344.8389,4877.9888,3543986.5352,39014.19466,357115.97376,2014,396130.16842,3147856.36678,5
848265.7895,432434.9751,1911306.0083,237460.6854,4728.3365,3434195.7948,39653.14064,355789.75529,2014,395442.89593,3038752.8988699997,6
882226.6256,453053.2659,1992592.5021,241655.8747,4842.5747,3574370.843,44968.02308,387729.07552,2014,432697.0986,3141673.7443999997,7
859558.3476,446185.4299,2008571.8115,239866.4657,4698.5685,3558880.6232,49546.2218,414631.87925,2014,464178.10105,3094702.5221499996,8
833190.2608,441576.7797,1945944.6382,232421.3481,4592.7158,3457725.7426,55184.72107,403234.67473,2014,458419.39580000006,2999306.3468,9
785702.1865,455786.9061,2000204.1398,237126.5741,4716.0452,3483535.8517,61791.35033,419894.9813,2014,481686.33163,3001849.52007,10
804764.9916,434506.6603,1948003.0075,227522.7475,4644.1054,3419441.5123,64556.7877,424177.0156,2014,488733.80329999997,2930707.7090000003,11
823253.7712,457936.3602,2023821.0798,239382.4161,4688.6722,3549082.2995,75987.6989,444228.0848,2014,520215.7837,3028866.5158,12
843560.7454,469749.6085,2032204.2648,245215.112,4682.0369,3595411.7676,83849.16875,463858.85673,2015,547708.02548,3047703.74212,1
730664.9453,429176.5161,1846162.3823,219207.6163,4173.3553,3229384.8153,75791.71959,419732.7754,2015,495524.49499,2733860.32031,2
818581.1962,475897.9293,2073525.4554,239574.3914,4636.2345,3612215.2068,81718.08674,487763.53402,2015,569481.6207600001,3042733.5860399995,3
801951.7498,466023.0513,2007368.6215,235939.4585,4369.5897,3515652.4708,81379.49797,485845.61662,2015,567225.11459,2948427.35621,4
854131.9181,470973.7443,2094557.7843,245689.7106,4406.1529,3669759.3102,86935.56375,515017.02699,2015,601952.59074,3067806.7194600003,5
812847.9511,459946.45,2027324.6561,235722.6781,4247.0594,3540088.7947,93398.21765,503469.66955,2015,596867.8872,2943220.9074999997,6
805049.17,476628.3573,2110780.3424,240104.3054,4530.658,3637092.8331,112220.7462,531584.30993,2015,643805.0561299999,2993287.77697,7
842631.2114,492572.9005,2130209.2805,245792.2401,4532.9619,3715738.5944,112113.191085,553015.4738,2015,665128.6648850001,3050609.9295149995,8
776442.88,484443.6008,2035770.2339,233798.8848,4558.3549,3535013.9544,106727.19471,538968.87074,2015,645696.06545,2889317.88895,9
859084.7027,504606.6308,2098446.938,241543.9371,4772.1856,3708454.3942,115692.292411,571899.6627,2015,687591.955111,3020862.439089,10
808550.0619,486381.8908,2026983.242,230396.7193,4599.5758,3556911.4898,104847.29999,568767.110871025,2015,673614.410861025,2883297.078938975,11
700013.0843,498588.5286,2144538.5459,239598.9607,4537.6397,3587276.7592,108402.27159,622254.643221878,2015,730656.914811878,2856619.844388122,12
831425.4295,496143.015,2141928.4437,237345.6141,4510.5726,3711353.0749,111481.897631,625680.016795107,2016,737161.9144261071,2974191.160473893,1
781048.0628,455900.5506,2023119.6293,219300.3869,4133.9385,3483502.5681,101108.747507049,609374.7215510885,2016,710483.4690581375,2773019.0990418624,2
871847.7293,485466.6233,2193119.21,227001.2881,4593.9451,3782028.7958,131066.450437,661108.1671557034,2016,792174.6175927034,2989854.1782072964,3
896878.3892,473509.4902,2094054.9497,218779.9939,4356.1647,3687578.9877,115436.40229,689925.0729747758,2016,805361.4752647758,2882217.512435224,4
909650.8285,482609.7915,2223787.0167,232231.4008,4270.9032,3852549.9407,134349.329713,738707.5749925774,2016,873056.9047055774,2979493.0359944226,5
892482.5643,460651.8383,2141822.2136,222454.7085,4113.4891,3721524.8138,126280.378832,727747.820372218,2016,854028.199204218,2867496.614595782,6
937312.8379,486612.6286,2237443.6515,228611.1919,4435.3564,3894415.6663,137399.986472,764507.5626025106,2016,901907.5490745106,2992508.1172254896,7
