produccion_gas_natural_total,produccion_gas,cuenca_produccion_gas_natural_cuenca_austral,cuenca_produccion_gas_natural_cuenca_cuyana,cuenca_produccion_gas_natural_cuenca_gsj,cuenca_produccion_gas_natural_cuenca_neuquina,cuenca_produccion_gas_natural_cuenca_noroeste
3540196.8855,885167.3714,1,0,0,0,0
3191664.5172,793800.6656,1,0,0,0,0
3477941.0797,879715.0346,1,0,0,0,0
3256041.4563,740749.0121,1,0,0,0,0
3543986.5352,880061.9141,1,0,0,0,0
3434195.7948,848265.7895,1,0,0,0,0
3574370.843,882226.6256,1,0,0,0,0
3558880.6232,859558.3476,1,0,0,0,0
3457725.7426,833190.2608,1,0,0,0,0
3483535.8517,785702.1865,1,0,0,0,0
3419441.5123,804764.9916,1,0,0,0,0
3549082.2995,823253.7712,1,0,0,0,0
3595411.7676,843560.7454,1,0,0,0,0
3229384.8153,730664.9453,1,0,0,0,0
3612215.2068,818581.1962,1,0,0,0,0
3515652.4708,801951.7498,1,0,0,0,0
3669759.3102,854131.9181,1,0,0,0,0
3540088.7947,812847.9511,1,0,0,0,0
3637092.8331,805049.17,1,0,0,0,0
3715738.5944,842631.2114,1,0,0,0,0
3535013.9544,776442.88,1,0,0,0,0
3708454.3942,859084.7027,1,0,0,0,0
3556911.4898,808550.0619,1,0,0,0,0
3587276.7592,700013.0843,1,0,0,0,0
3711353.0749,831425.4295,1,0,0,0,0
3483502.5681,781048.0628,1,0,0,0,0
3782028.7958,871847.7293,1,0,0,0,0
3687578.9877,896878.3892,1,0,0,0,0
3852549.9407,909650.8285,1,0,0,0,0
3721524.8138,892482.5643,1,0,0,0,0
3894415.6663,937312.8379,1,0,0,0,0
3870650.3573,935667.1203,1,0,0,0,0
3719851.8787,901979.6686,1,0,0,0,0
3863078.6613,920392.748,1,0,0,0,0
3637056.0731,835128.7551,1,0,0,0,0
3764330.6639,878217.2212,1,0,0,0,0
3815996.8983,910261.2793,1,0,0,0,0
3273889.2438,652088.5484,1,0,0,0,0
3788823.2969,916305.226,1,0,0,0,0
3698604.1467,890076.9236,1,0,0,0,0
3785410.7631,876745.0849,1,0,0,0,0
3668775.516,879096.8291,1,0,0,0,0
3825200.1362,932777.1635,1,0,0,0,0
3838502.1784,931474.7163,1,0,0,0,0
3727261.1906,890732.5602,1,0,0,0,0
3847171.183,964437.817,1,0,0,0,0
3556408.6461,871092.4327,1,0,0,0,0
3794734.1028,966965.659,1,0,0,0,0
3845395.7151,971348.8593,1,0,0,0,0
3495493.4303,840996.8234,1,0,0,0,0
3901910.4606,945715.6674,1,0,0,0,0
3877470.2839,957017.6847,1,0,0,0,0
3945485.4795,995247.8307,1,0,0,0,0
3966887.6913,987577.0035,1,0,0,0,0
4096363.7705,1028396.5852,1,0,0,0,0
4147977.1529,1036868.6823,1,0,0,0,0
3954011.5223,985353.3949,1,0,0,0,0
4103313.8493,1025904.9509,1,0,0,0,0
3696890.7025,763919.8696,1,0,0,0,0
3990367.3806,983091.9956,1,0,0,0,0
4000200.0774,966655.7903,1,0,0,0,0
3770586.3341,891634.8423,1,0,0,0,0
4014110.5733,998957.6042,1,0,0,0,0
3948838.2895,970570.9347,1,0,0,0,0
4245784.3515,1054441.4503,1,0,0,0,0
4199866.064,1022900.3939,1,0,0,0,0
4476980.7069,1087216.7938,1,0,0,0,0
4477110.1681,1083213.6055,1,0,0,0,0
4138301.5574,1025426.5698,1,0,0,0,0
4336931.5435,1049175.6386,1,0,0,0,0
3809542.8392,933831.9262,1,0,0,0,0
3932837.7832,956701.7568,1,0,0,0,0
4037202.2529,973515.7046,1,0,0,0,0
3703770.4612,901000.7085,1,0,0,0,0
3925264.1268,967785.5815,1,0,0,0,0
3502211.748,881554.3128,1,0,0,0,0
3858610.254,1013028.7894,1,0,0,0,0
3780658.4149,981983.2898,1,0,0,0,0
3931669.5227,998305.9558,1,0,0,0,0
3895558.8723,985009.3426,1,0,0,0,0
3685327.0507,957441.9468,1,0,0,0,0
3778039.7528,994037.0007,1,0,0,0,0
3471571.8164,932467.9041,1,0,0,0,0
3529778.4583,948700.7691,1,0,0,0,0
3596174.8071,966355.7637,1,0,0,0,0
3208074.3086,865759.1604,1,0,0,0,0
3549947.412,907897.1618,1,0,0,0,0
3426856.0022,917513.4,1,0,0,0,0
3759604.2808,938163.9466,1,0,0,0,0
3810692.1877,885599.2161,1,0,0,0,0
4052611.6108,924873.0175,1,0,0,0,0
4145491.4139,929050.6923,1,0,0,0,0
3980185.9078,894057.1344,1,0,0,0,0
3944138.1659,882769.7972,1,0,0,0,0
3836347.1643,866394.3406,1,0,0,0,0
3994731.0349,880090.2948,1,0,0,0,0
4028544.1807,868057.74,1,0,0,0,0
3565161.9573,792542.824,1,0,0,0,0
3889775.3316,706361.671,1,0,0,0,0
3821227.1886,835694.634,1,0,0,0,0
4217944.5862,850607.1424,1,0,0,0,0
4185129.4605,833943.1501,1,0,0,0,0
4345850.1304,854932.0022,1,0,0,0,0
4386353.5563,862214.3159,1,0,0,0,0
4082376.3344,829624.6011,1,0,0,0,0
4112656.8386,844532.6695,1,0,0,0,0
3795389.1778,808157.2392,1,0,0,0,0
3991324.9379,828510.4688,1,0,0,0,0
3993062.7062,822288.9335,1,0,0,0,0
3637194.3959,741077.8852,1,0,0,0,0
3993956.2904,820011.1089,1,0,0,0,0
3863129.6105,751579.7636,1,0,0,0,0
4183843.5899,811668.3283,1,0,0,0,0
4146160.0109,792241.5695,1,0,0,0,0
4282758.6424,802933.0459,1,0,0,0,0
4476588.5425,803914.9185,1,0,0,0,0
4296508.4938,770758.9054,1,0,0,0,0
3905065.2173,781951.9058,1,0,0,0,0
3789588.641,714730.338,1,0,0,0,0
3538736.1746,665455.878,1,0,0,0,0
3837941.8496,682615.5851,1,0,0,0,0
3887661.2613,716014.8637,1,0,0,0,0
4174409.1002,763206.2694,1,0,0,0,0
4084730.3735,724633.3455,1,0,0,0,0
4654371.4233,772023.9466,1,0,0,0,0
4426739.1463,720480.694,1,0,0,0,0
4709073.5953,744960.7183,1,0,0,0,0
4744011.1561,743659.486,1,0,0,0,0
4416565.9503,725994.4009,1,0,0,0,0
4128082.1499,804422.2286,1,0,0,0,0
3815327.4009,737680.6943,1,0,0,0,0
3859003.3931,723347.5662,1,0,0,0,0
3540196.8855,442014.6605,0,0,1,0,0
3191664.5172,403246.2098,0,0,1,0,0
3477941.0797,453502.3597,0,0,1,0,0
3256041.4563,438266.3703,0,0,1,0,0
3543986.5352,445484.1645,0,0,1,0,0
3434195.7948,432434.9751,0,0,1,0,0
3574370.843,453053.2659,0,0,1,0,0
3558880.6232,446185.4299,0,0,1,0,0
3457725.7426,441576.7797,0,0,1,0,0
3483535.8517,455786.9061,0,0,1,0,0
3419441.5123,434506.6603,0,0,1,0,0
3549082.2995,457936.3602,0,0,1,0,0
3595411.7676,469749.6085,0,0,1,0,0
3229384.8153,429176.5161,0,0,1,0,0
3612215.2068,475897.9293,0,0,1,0,0
3515652.4708,466023.0513,0,0,1,0,0
3669759.3102,470973.7443,0,0,1,0,0
3540088.7947,459946.45,0,0,1,0,0
3637092.8331,476628.3573,0,0,1,0,0
3715738.5944,492572.9005,0,0,1,0,0
3535013.9544,484443.6008,0,0,1,0,0
3708454.3942,504606.6308,0,0,1,0,0
3556911.4898,486381.8908,0,0,1,0,0
3587276.7592,498588.5286,0,0,1,0,0
3711353.0749,496143.015,0,0,1,0,0
3483502.5681,455900.5506,0,0,1,0,0
3782028.7958,485466.6233,0,0,1,0,0
3687578.9877,473509.4902,0,0,1,0,0
3852549.9407,482609.7915,0,0,1,0,0
3721524.8138,460651.8383,0,0,1,0,0
3894415.6663,486612.6286,0,0,1,0,0
3870650.3573,482014.5633,0,0,1,0,0
